episode,score,global_step,avg_loss,step
0,1.0,167,0.0,167
1,1.0,311,0.0,144
2,2.0,511,0.0,200
3,0.0,631,0.0,120
4,4.0,904,0.0,273
5,2.0,1064,0.0,160
6,2.0,1251,0.0,187
7,0.0,1379,0.0,128
8,2.0,1556,0.0,177
9,1.0,1719,0.0,163
10,1.0,1886,0.0,167
11,2.0,2082,0.0,196
12,0.0,2203,0.0,121
13,1.0,2348,0.0,145
14,1.0,2475,0.0,127
15,0.0,2608,0.0,133
16,2.0,2815,0.0,207
17,0.0,2924,0.0,109
18,2.0,3153,0.0,229
19,1.0,3294,0.0,141
20,2.0,3501,0.0,207
21,0.0,3615,0.0,114
22,0.0,3729,0.0,114
23,1.0,3872,0.0,143
24,0.0,3997,0.0,125
25,0.0,4104,0.0,107
26,1.0,4259,0.0,155
27,1.0,4430,0.0,171
28,2.0,4619,0.0,189
29,2.0,4799,0.0,180
30,2.0,4997,0.0,198
31,1.0,5171,0.0,174
32,2.0,5345,0.0,174
33,0.0,5470,0.0,125
34,0.0,5585,0.0,115
35,1.0,5755,0.0,170
36,3.0,6002,0.0,247
37,0.0,6103,0.0,101
38,2.0,6293,0.0,190
39,1.0,6454,0.0,161
40,1.0,6634,0.0,180
41,3.0,6853,0.0,219
42,1.0,7012,0.0,159
43,3.0,7260,0.0,248
44,2.0,7457,0.0,197
45,1.0,7601,0.0,144
46,0.0,7703,0.0,102
47,1.0,7855,0.0,152
48,1.0,8013,0.0,158
49,3.0,8261,0.0,248
50,0.0,8388,0.0,127
51,0.0,8510,0.0,122
52,0.0,8637,0.0,127
53,0.0,8734,0.0,97
54,1.0,8862,0.0,128
55,0.0,8971,0.0,109
56,1.0,9126,0.0,155
57,1.0,9272,0.0,146
58,1.0,9421,0.0,149
59,3.0,9646,0.0,225
60,0.0,9752,0.0,106
61,0.0,9876,0.0,124
62,1.0,10021,0.0,145
63,1.0,10147,0.0,126
64,0.0,10244,0.0,97
65,2.0,10456,0.0,212
66,0.0,10568,0.0,112
67,2.0,10746,0.0,178
68,2.0,10918,0.0,172
69,0.0,11035,0.0,117
70,4.0,11308,0.0,273
71,2.0,11504,0.0,196
72,2.0,11684,0.0,180
73,1.0,11837,0.0,153
74,1.0,11982,0.0,145
75,0.0,12091,0.0,109
76,2.0,12275,0.0,184
77,4.0,12535,0.0,260
78,2.0,12720,0.0,185
79,0.0,12815,0.0,95
80,1.0,12981,0.0,166
81,1.0,13116,0.0,135
82,2.0,13302,0.0,186
83,5.0,13627,0.0,325
84,2.0,13843,0.0,216
85,1.0,13991,0.0,148
86,2.0,14160,0.0,169
87,2.0,14334,0.0,174
88,1.0,14476,0.0,142
89,0.0,14596,0.0,120
90,2.0,14798,0.0,202
91,1.0,14947,0.0,149
92,1.0,15089,0.0,142
93,1.0,15234,0.0,145
94,3.0,15466,0.0,232
95,2.0,15684,0.0,218
96,2.0,15865,0.0,181
97,1.0,16031,0.0,166
98,1.0,16212,0.0,181
99,2.0,16384,0.0,172
100,0.0,16488,0.0,104
101,2.0,16669,0.0,181
102,2.0,16880,0.0,211
103,2.0,17048,0.0,168
104,3.0,17271,0.0,223
105,1.0,17439,0.0,168
106,0.0,17553,0.0,114
107,2.0,17728,0.0,175
108,0.0,17840,0.0,112
109,1.0,17994,0.0,154
110,0.0,18123,0.0,129
111,3.0,18336,0.0,213
112,3.0,18591,0.0,255
113,1.0,18755,0.0,164
114,0.0,18860,0.0,105
115,1.0,19005,0.0,145
116,2.0,19203,0.0,198
117,1.0,19340,0.0,137
118,1.0,19484,0.0,144
119,0.0,19612,0.0,128
120,1.0,19792,0.0,180
121,2.0,19978,0.0,186
122,0.0,20104,0.0,126
123,2.0,20307,0.0,203
124,1.0,20452,0.0,145
125,0.0,20557,0.0,105
126,0.0,20657,0.0,100
127,0.0,20770,0.0,113
128,2.0,20971,0.0,201
129,4.0,21259,0.0,288
130,0.0,21388,0.0,129
131,3.0,21624,0.0,236
132,1.0,21763,0.0,139
133,0.0,21883,0.0,120
134,4.0,22137,0.0,254
135,1.0,22282,0.0,145
136,1.0,22438,0.0,156
137,1.0,22578,0.0,140
138,2.0,22795,0.0,217
139,4.0,23060,0.0,265
140,0.0,23180,0.0,120
141,0.0,23301,0.0,121
142,3.0,23553,0.0,252
143,3.0,23788,0.0,235
144,0.0,23924,0.0,136
145,1.0,24082,0.0,158
146,2.0,24262,0.0,180
147,0.0,24385,0.0,123
148,2.0,24574,0.0,189
149,0.0,24696,0.0,122
150,0.0,24819,0.0,123
151,0.0,24933,0.0,114
152,1.0,25107,0.0,174
153,1.0,25230,0.0,123
154,0.0,25330,0.0,100
155,1.0,25498,0.0,168
156,2.0,25674,0.0,176
157,3.0,25889,0.0,215
158,2.0,26063,0.0,174
159,0.0,26182,0.0,119
160,0.0,26283,0.0,101
161,3.0,26508,0.0,225
162,2.0,26696,0.0,188
163,0.0,26811,0.0,115
164,1.0,26933,0.0,122
165,0.0,27054,0.0,121
166,2.0,27240,0.0,186
167,1.0,27391,0.0,151
168,1.0,27528,0.0,137
169,0.0,27647,0.0,119
170,1.0,27788,0.0,141
171,0.0,27912,0.0,124
172,4.0,28160,0.0,248
173,3.0,28385,0.0,225
174,0.0,28497,0.0,112
175,1.0,28634,0.0,137
176,3.0,28883,0.0,249
177,2.0,29059,0.0,176
178,2.0,29232,0.0,173
179,0.0,29345,0.0,113
180,1.0,29494,0.0,149
181,0.0,29605,0.0,111
182,0.0,29711,0.0,106
183,2.0,29882,0.0,171
184,1.0,30055,0.0,173
185,3.0,30259,0.0,204
186,0.0,30378,0.0,119
187,0.0,30476,0.0,98
188,3.0,30694,0.0,218
189,0.0,30817,0.0,123
190,0.0,30938,0.0,121
191,0.0,31042,0.0,104
192,3.0,31268,0.0,226
193,0.0,31379,0.0,111
194,2.0,31549,0.0,170
195,2.0,31739,0.0,190
196,1.0,31879,0.0,140
197,3.0,32115,0.0,236
198,0.0,32228,0.0,113
199,2.0,32417,0.0,189
200,2.0,32591,0.0,174
201,0.0,32712,0.0,121
202,1.0,32896,0.0,184
203,3.0,33137,0.0,241
204,1.0,33298,0.0,161
205,1.0,33465,0.0,167
206,1.0,33641,0.0,176
207,0.0,33751,0.0,110
208,0.0,33866,0.0,115
209,0.0,33982,0.0,116
210,1.0,34138,0.0,156
211,2.0,34319,0.0,181
212,0.0,34440,0.0,121
213,0.0,34551,0.0,111
214,3.0,34780,0.0,229
215,1.0,34948,0.0,168
216,3.0,35182,0.0,234
217,1.0,35312,0.0,130
218,1.0,35472,0.0,160
219,0.0,35591,0.0,119
220,1.0,35741,0.0,150
221,0.0,35864,0.0,123
222,4.0,36106,0.0,242
223,4.0,36391,0.0,285
224,2.0,36607,0.0,216
225,0.0,36730,0.0,123
226,0.0,36846,0.0,116
227,0.0,36945,0.0,99
228,1.0,37089,0.0,144
229,1.0,37266,0.0,177
230,0.0,37388,0.0,122
231,2.0,37582,0.0,194
232,1.0,37728,0.0,146
233,2.0,37925,0.0,197
234,1.0,38056,0.0,131
235,0.0,38182,0.0,126
236,1.0,38317,0.0,135
237,0.0,38439,0.0,122
238,0.0,38560,0.0,121
239,1.0,38734,0.0,174
240,1.0,38908,0.0,174
241,0.0,39029,0.0,121
242,2.0,39206,0.0,177
243,0.0,39324,0.0,118
244,1.0,39473,0.0,149
245,1.0,39638,0.0,165
246,0.0,39738,0.0,100
247,2.0,39945,0.0,207
248,0.0,40046,0.0,101
249,0.0,40143,0.0,97
250,2.0,40338,0.0,195
251,0.0,40455,0.0,117
252,2.0,40647,0.0,192
253,4.0,40922,0.0,275
254,3.0,41139,0.0,217
255,3.0,41361,0.0,222
256,1.0,41510,0.0,149
257,4.0,41814,0.0,304
258,0.0,41922,0.0,108
259,1.0,42074,0.0,152
260,0.0,42194,0.0,120
261,1.0,42349,0.0,155
262,1.0,42509,0.0,160
263,1.0,42645,0.0,136
264,0.0,42755,0.0,110
265,2.0,42955,0.0,200
266,4.0,43183,0.0,228
267,1.0,43319,0.0,136
268,2.0,43516,0.0,197
269,1.0,43658,0.0,142
270,0.0,43767,0.0,109
271,0.0,43890,0.0,123
272,0.0,43987,0.0,97
273,2.0,44163,0.0,176
274,0.0,44297,0.0,134
275,1.0,44434,0.0,137
276,0.0,44560,0.0,126
277,2.0,44765,0.0,205
278,1.0,44929,0.0,164
279,3.0,45161,0.0,232
280,0.0,45286,0.0,125
281,0.0,45404,0.0,118
282,4.0,45669,0.0,265
283,1.0,45821,0.0,152
284,1.0,45971,0.0,150
285,0.0,46084,0.0,113
286,0.0,46209,0.0,125
287,0.0,46303,0.0,94
288,0.0,46418,0.0,115
289,0.0,46531,0.0,113
290,1.0,46704,0.0,173
291,0.0,46824,0.0,120
292,1.0,46970,0.0,146
293,0.0,47071,0.0,101
294,2.0,47251,0.0,180
295,2.0,47440,0.0,189
296,0.0,47557,0.0,117
297,3.0,47822,0.0,265
298,1.0,47976,0.0,154
299,0.0,48100,0.0,124
300,0.0,48224,0.0,124
301,0.0,48325,0.0,101
302,2.0,48536,0.0,211
303,0.0,48668,0.0,132
304,3.0,48897,0.0,229
305,3.0,49131,0.0,234
306,4.0,49422,0.0,291
307,0.0,49532,0.0,110
308,1.0,49709,0.0,177
309,1.0,49853,0.0,144
310,4.0,50131,0.007088121310045621,278
311,7.0,50368,0.013507511593472165,237
312,8.0,50640,0.013831155246674932,272
313,7.0,50883,0.014931166842781052,243
314,8.0,51159,0.015373811123646337,276
315,1.0,51299,0.01826137300231494,140
316,6.0,51618,0.01862102330769602,319
317,5.0,51879,0.017487373156874472,261
318,7.0,52126,0.023417403220400774,247
319,0.0,52220,0.02250732523463468,94
320,2.0,52384,0.018681091030352613,164
321,7.0,52614,0.015528413296535449,230
322,5.0,52915,0.024258320432727184,301
323,8.0,53299,0.01938363590109778,384
324,2.0,53489,0.01888708983315155,190
325,4.0,53732,0.026610984650695384,243
326,4.0,53974,0.03480099846535816,242
327,8.0,54362,0.02009155180727698,388
328,15.0,54879,0.02041947612574061,517
329,9.0,55182,0.024812664737711314,303
330,2.0,55364,0.027132190552227976,182
331,5.0,55628,0.027670843131173486,264
332,2.0,55797,0.02407880876345571,169
333,2.0,55968,0.02793639913413739,171
334,3.0,56166,0.02436020282112448,198
335,5.0,56432,0.029104254645937914,266
336,1.0,56564,0.02383940212012297,132
337,4.0,56797,0.044964357175816316,233
338,4.0,57061,0.030148390218197495,264
339,13.0,57399,0.02346316365195857,338
340,7.0,57644,0.016220842220354824,245
341,5.0,57927,0.01862566838536227,283
342,7.0,58173,0.02986273698497382,246
343,4.0,58420,0.036376940368567236,247
344,4.0,58663,0.019111140988769062,243
345,5.0,58949,0.02337379521471318,286
346,2.0,59111,0.02066019240998157,162
347,7.0,59494,0.027710634094660534,383
348,3.0,59707,0.019108837831409063,213
349,4.0,59948,0.019244022381683247,241
350,3.0,60160,0.021663375565110055,212
351,1.0,60296,0.014574056009330568,136
352,1.0,60417,0.01758955482899573,121
353,3.0,60624,0.022611243013688477,207
354,1.0,60745,0.0160896964621353,121
355,3.0,60953,0.01664934751142237,208
356,3.0,61162,0.015049978045737772,209
357,1.0,61284,0.01934776873782002,122
358,4.0,61525,0.013028063945408478,241
359,0.0,61619,0.016619972038786224,94
360,3.0,61826,0.017591297260940005,207
361,3.0,62035,0.024327206496109196,209
362,1.0,62160,0.022118194879498333,125
363,1.0,62296,0.017956200239816953,136
364,3.0,62500,0.015735595112132347,204
365,3.0,62711,0.013413919545036974,211
366,3.0,62922,0.017370946165748045,211
367,3.0,63132,0.014651803707515466,210
368,2.0,63283,0.015578234830750954,151
369,3.0,63486,0.01150641299547912,203
370,1.0,63611,0.015211999263614415,125
371,2.0,63777,0.02120595899900051,166
372,3.0,63985,0.0214148274641887,208
373,2.0,64143,0.01746744970471268,158
