episode,score,global_step,avg_loss,step
0,1.0,133,0.0,133
1,1.0,279,0.0,146
2,2.0,478,0.0,199
3,3.0,720,0.0,242
4,4.0,977,0.0,257
5,0.0,1088,0.0,111
6,1.0,1212,0.0,124
7,0.0,1324,0.0,112
8,2.0,1535,0.0,211
9,1.0,1698,0.0,163
10,2.0,1888,0.0,190
11,0.0,2003,0.0,115
12,1.0,2158,0.0,155
13,0.0,2257,0.0,99
14,3.0,2478,0.0,221
15,0.0,2595,0.0,117
16,1.0,2748,0.0,153
17,1.0,2907,0.0,159
18,2.0,3095,0.0,188
19,0.0,3227,0.0,132
20,2.0,3400,0.0,173
21,1.0,3552,0.0,152
22,0.0,3673,0.0,121
23,0.0,3799,0.0,126
24,2.0,3959,0.0,160
25,1.0,4084,0.0,125
26,0.0,4202,0.0,118
27,3.0,4438,0.0,236
28,1.0,4603,0.0,165
29,0.0,4729,0.0,126
30,0.0,4832,0.0,103
31,1.0,5004,0.0,172
32,1.0,5140,0.0,136
33,2.0,5318,0.0,178
34,1.0,5461,0.0,143
35,0.0,5589,0.0,128
36,2.0,5791,0.0,202
37,2.0,6011,0.0,220
38,1.0,6162,0.0,151
39,3.0,6356,0.0,194
40,0.0,6466,0.0,110
41,0.0,6580,0.0,114
42,0.0,6690,0.0,110
43,0.0,6792,0.0,102
44,0.0,6906,0.0,114
45,0.0,7015,0.0,109
46,0.0,7122,0.0,107
47,1.0,7267,0.0,145
48,2.0,7459,0.0,192
49,3.0,7665,0.0,206
50,1.0,7797,0.0,132
51,0.0,7910,0.0,113
52,3.0,8169,0.0,259
53,0.0,8277,0.0,108
54,3.0,8514,0.0,237
55,1.0,8668,0.0,154
56,0.0,8786,0.0,118
57,1.0,8958,0.0,172
58,1.0,9123,0.0,165
59,0.0,9244,0.0,121
60,0.0,9348,0.0,104
61,1.0,9498,0.0,150
62,2.0,9671,0.0,173
63,1.0,9812,0.0,141
64,6.0,10190,0.0,378
65,3.0,10403,0.0,213
66,0.0,10507,0.0,104
67,1.0,10652,0.0,145
68,2.0,10868,0.0,216
69,2.0,11040,0.0,172
70,2.0,11233,0.0,193
71,2.0,11423,0.0,190
72,1.0,11552,0.0,129
73,0.0,11656,0.0,104
74,1.0,11815,0.0,159
75,1.0,11980,0.0,165
76,3.0,12202,0.0,222
77,3.0,12455,0.0,253
78,0.0,12559,0.0,104
79,4.0,12831,0.0,272
80,0.0,12949,0.0,118
81,1.0,13078,0.0,129
82,0.0,13186,0.0,108
83,3.0,13410,0.0,224
84,4.0,13720,0.0,310
85,3.0,13944,0.0,224
86,5.0,14256,0.0,312
87,1.0,14399,0.0,143
88,1.0,14539,0.0,140
89,2.0,14711,0.0,172
90,0.0,14831,0.0,120
91,1.0,14969,0.0,138
92,1.0,15134,0.0,165
93,0.0,15249,0.0,115
94,0.0,15372,0.0,123
95,1.0,15522,0.0,150
96,1.0,15683,0.0,161
97,1.0,15824,0.0,141
98,1.0,15984,0.0,160
99,0.0,16101,0.0,117
100,0.0,16217,0.0,116
101,2.0,16386,0.0,169
102,0.0,16505,0.0,119
103,2.0,16703,0.0,198
104,0.0,16816,0.0,113
105,0.0,16908,0.0,92
106,0.0,17021,0.0,113
107,3.0,17242,0.0,221
108,1.0,17402,0.0,160
109,0.0,17507,0.0,105
110,0.0,17630,0.0,123
111,1.0,17773,0.0,143
112,3.0,17994,0.0,221
113,0.0,18122,0.0,128
114,1.0,18301,0.0,179
115,0.0,18421,0.0,120
116,1.0,18575,0.0,154
117,2.0,18758,0.0,183
118,1.0,18920,0.0,162
119,3.0,19137,0.0,217
120,2.0,19311,0.0,174
121,4.0,19610,0.0,299
122,0.0,19709,0.0,99
123,4.0,20013,0.0,304
124,2.0,20205,0.0,192
125,2.0,20371,0.0,166
126,3.0,20634,0.0,263
127,2.0,20812,0.0,178
128,2.0,20982,0.0,170
129,3.0,21210,0.0,228
130,0.0,21318,0.0,108
131,1.0,21460,0.0,142
132,2.0,21653,0.0,193
133,1.0,21821,0.0,168
134,2.0,21971,0.0,150
135,1.0,22139,0.0,168
136,0.0,22264,0.0,125
137,1.0,22417,0.0,153
138,0.0,22532,0.0,115
139,1.0,22690,0.0,158
140,2.0,22873,0.0,183
141,0.0,22997,0.0,124
142,0.0,23096,0.0,99
